1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 590000004B669541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 316 second(s)
Mission Start Time:  Fri May 24 18:59:01 EDT 2019
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri May 24 18:59:01 EDT 2019
Total Mission Samples:  4096
Total Device Samples:  8799
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/24/19 6:59:01 PM,C,18.695
5/24/19 7:04:17 PM,C,18.695
5/24/19 7:09:33 PM,C,18.632
5/24/19 7:14:49 PM,C,18.632
5/24/19 7:20:05 PM,C,18.632
5/24/19 7:25:21 PM,C,18.632
5/24/19 7:30:37 PM,C,18.695
5/24/19 7:35:53 PM,C,18.758
5/24/19 7:41:09 PM,C,18.82
5/24/19 7:46:25 PM,C,18.883
5/24/19 7:51:41 PM,C,18.945
5/24/19 7:56:57 PM,C,19.258
5/24/19 8:02:13 PM,C,19.571
5/24/19 8:07:29 PM,C,19.821
5/24/19 8:12:45 PM,C,19.946
5/24/19 8:18:01 PM,C,19.883
5/24/19 8:23:17 PM,C,19.758
5/24/19 8:28:33 PM,C,19.633
5/24/19 8:33:49 PM,C,19.571
5/24/19 8:39:05 PM,C,19.508
5/24/19 8:44:21 PM,C,19.446
5/24/19 8:49:37 PM,C,19.446
5/24/19 8:54:53 PM,C,19.383
5/24/19 9:00:09 PM,C,19.383
5/24/19 9:05:25 PM,C,19.383
5/24/19 9:10:41 PM,C,19.32
5/24/19 9:15:57 PM,C,19.32
5/24/19 9:21:13 PM,C,19.383
5/24/19 9:26:29 PM,C,19.383
5/24/19 9:31:45 PM,C,19.32
5/24/19 9:37:01 PM,C,19.195
5/24/19 9:42:17 PM,C,19.07
5/24/19 9:47:33 PM,C,19.008
5/24/19 9:52:49 PM,C,18.945
5/24/19 9:58:05 PM,C,18.945
5/24/19 10:03:21 PM,C,18.945
5/24/19 10:08:37 PM,C,18.883
5/24/19 10:13:53 PM,C,18.883
5/24/19 10:19:09 PM,C,18.883
5/24/19 10:24:25 PM,C,18.883
5/24/19 10:29:41 PM,C,18.945
5/24/19 10:34:57 PM,C,18.945
5/24/19 10:40:13 PM,C,18.945
5/24/19 10:45:29 PM,C,18.883
5/24/19 10:50:45 PM,C,18.883
5/24/19 10:56:01 PM,C,18.883
5/24/19 11:01:17 PM,C,18.82
5/24/19 11:06:33 PM,C,18.82
5/24/19 11:11:49 PM,C,18.82
5/24/19 11:17:05 PM,C,18.883
5/24/19 11:22:21 PM,C,18.883
5/24/19 11:27:37 PM,C,18.945
5/24/19 11:32:53 PM,C,18.945
5/24/19 11:38:09 PM,C,18.945
5/24/19 11:43:25 PM,C,18.945
5/24/19 11:48:41 PM,C,18.945
5/24/19 11:53:57 PM,C,18.945
5/24/19 11:59:13 PM,C,18.945
5/25/19 12:04:29 AM,C,19.008
5/25/19 12:09:45 AM,C,19.008
5/25/19 12:15:01 AM,C,19.008
5/25/19 12:20:17 AM,C,19.008
5/25/19 12:25:33 AM,C,18.945
5/25/19 12:30:49 AM,C,18.883
5/25/19 12:36:05 AM,C,18.82
5/25/19 12:41:21 AM,C,18.82
5/25/19 12:46:37 AM,C,18.758
5/25/19 12:51:53 AM,C,18.758
5/25/19 12:57:09 AM,C,18.758
5/25/19 1:02:25 AM,C,18.758
5/25/19 1:07:41 AM,C,18.82
5/25/19 1:12:57 AM,C,18.758
5/25/19 1:18:13 AM,C,18.758
5/25/19 1:23:29 AM,C,18.695
5/25/19 1:28:45 AM,C,18.632
5/25/19 1:34:01 AM,C,18.57
5/25/19 1:39:17 AM,C,18.507
5/25/19 1:44:33 AM,C,18.57
5/25/19 1:49:49 AM,C,18.57
5/25/19 1:55:05 AM,C,18.632
5/25/19 2:00:21 AM,C,18.758
5/25/19 2:05:37 AM,C,18.82
5/25/19 2:10:53 AM,C,19.008
5/25/19 2:16:09 AM,C,19.258
5/25/19 2:21:25 AM,C,19.446
5/25/19 2:26:41 AM,C,19.696
5/25/19 2:31:57 AM,C,19.821
5/25/19 2:37:13 AM,C,19.883
5/25/19 2:42:29 AM,C,19.883
5/25/19 2:47:45 AM,C,19.883
5/25/19 2:53:01 AM,C,19.883
5/25/19 2:58:17 AM,C,19.883
5/25/19 3:03:33 AM,C,19.883
5/25/19 3:08:49 AM,C,19.821
5/25/19 3:14:05 AM,C,19.821
5/25/19 3:19:21 AM,C,19.821
5/25/19 3:24:37 AM,C,19.758
5/25/19 3:29:53 AM,C,19.696
5/25/19 3:35:09 AM,C,19.696
5/25/19 3:40:25 AM,C,19.571
5/25/19 3:45:41 AM,C,19.508
5/25/19 3:50:57 AM,C,19.446
5/25/19 3:56:13 AM,C,19.383
5/25/19 4:01:29 AM,C,19.32
5/25/19 4:06:45 AM,C,19.258
5/25/19 4:12:01 AM,C,19.195
5/25/19 4:17:17 AM,C,19.195
5/25/19 4:22:33 AM,C,19.195
5/25/19 4:27:49 AM,C,19.195
5/25/19 4:33:05 AM,C,19.195
5/25/19 4:38:21 AM,C,19.195
5/25/19 4:43:37 AM,C,19.195
5/25/19 4:48:53 AM,C,19.195
5/25/19 4:54:09 AM,C,19.195
5/25/19 4:59:25 AM,C,19.195
5/25/19 5:04:41 AM,C,19.195
5/25/19 5:09:57 AM,C,19.195
5/25/19 5:15:13 AM,C,19.195
5/25/19 5:20:29 AM,C,19.195
5/25/19 5:25:45 AM,C,19.195
5/25/19 5:31:01 AM,C,19.195
5/25/19 5:36:17 AM,C,19.195
5/25/19 5:41:33 AM,C,19.195
5/25/19 5:46:49 AM,C,19.195
5/25/19 5:52:05 AM,C,19.195
5/25/19 5:57:21 AM,C,19.195
5/25/19 6:02:37 AM,C,19.195
5/25/19 6:07:53 AM,C,19.258
5/25/19 6:13:09 AM,C,19.195
5/25/19 6:18:25 AM,C,19.195
5/25/19 6:23:41 AM,C,19.195
5/25/19 6:28:57 AM,C,19.258
5/25/19 6:34:13 AM,C,19.258
5/25/19 6:39:29 AM,C,19.258
5/25/19 6:44:45 AM,C,19.258
5/25/19 6:50:01 AM,C,19.258
5/25/19 6:55:17 AM,C,19.258
5/25/19 7:00:33 AM,C,19.258
5/25/19 7:05:49 AM,C,19.258
5/25/19 7:11:05 AM,C,19.195
5/25/19 7:16:21 AM,C,19.195
5/25/19 7:21:37 AM,C,19.195
5/25/19 7:26:53 AM,C,19.195
5/25/19 7:32:09 AM,C,19.195
5/25/19 7:37:25 AM,C,19.195
5/25/19 7:42:41 AM,C,19.195
5/25/19 7:47:57 AM,C,19.195
5/25/19 7:53:13 AM,C,19.195
5/25/19 7:58:29 AM,C,19.133
5/25/19 8:03:45 AM,C,19.133
5/25/19 8:09:01 AM,C,19.133
5/25/19 8:14:17 AM,C,19.133
5/25/19 8:19:33 AM,C,19.133
5/25/19 8:24:49 AM,C,19.133
5/25/19 8:30:05 AM,C,19.07
5/25/19 8:35:21 AM,C,19.07
5/25/19 8:40:37 AM,C,19.07
5/25/19 8:45:53 AM,C,19.07
5/25/19 8:51:09 AM,C,19.07
5/25/19 8:56:25 AM,C,19.07
5/25/19 9:01:41 AM,C,19.07
5/25/19 9:06:57 AM,C,19.07
5/25/19 9:12:13 AM,C,19.008
5/25/19 9:17:29 AM,C,19.008
5/25/19 9:22:45 AM,C,19.008
5/25/19 9:28:01 AM,C,19.008
5/25/19 9:33:17 AM,C,19.008
5/25/19 9:38:33 AM,C,19.008
5/25/19 9:43:49 AM,C,19.008
5/25/19 9:49:05 AM,C,19.008
5/25/19 9:54:21 AM,C,19.008
5/25/19 9:59:37 AM,C,18.945
5/25/19 10:04:53 AM,C,18.945
5/25/19 10:10:09 AM,C,18.945
5/25/19 10:15:25 AM,C,18.945
5/25/19 10:20:41 AM,C,18.945
5/25/19 10:25:57 AM,C,18.945
5/25/19 10:31:13 AM,C,18.945
5/25/19 10:36:29 AM,C,18.945
5/25/19 10:41:45 AM,C,18.883
5/25/19 10:47:01 AM,C,18.883
5/25/19 10:52:17 AM,C,18.883
5/25/19 10:57:33 AM,C,18.883
5/25/19 11:02:49 AM,C,18.883
5/25/19 11:08:05 AM,C,18.883
5/25/19 11:13:21 AM,C,18.82
5/25/19 11:18:37 AM,C,18.82
5/25/19 11:23:53 AM,C,18.82
5/25/19 11:29:09 AM,C,18.82
5/25/19 11:34:25 AM,C,18.82
5/25/19 11:39:41 AM,C,18.82
5/25/19 11:44:57 AM,C,18.82
5/25/19 11:50:13 AM,C,18.82
5/25/19 11:55:29 AM,C,18.82
5/25/19 12:00:45 PM,C,18.758
5/25/19 12:06:01 PM,C,18.758
5/25/19 12:11:17 PM,C,18.758
5/25/19 12:16:33 PM,C,18.758
5/25/19 12:21:49 PM,C,18.758
5/25/19 12:27:05 PM,C,18.758
5/25/19 12:32:21 PM,C,18.758
5/25/19 12:37:37 PM,C,18.758
5/25/19 12:42:53 PM,C,18.758
5/25/19 12:48:09 PM,C,18.695
5/25/19 12:53:25 PM,C,18.695
5/25/19 12:58:41 PM,C,18.695
5/25/19 1:03:57 PM,C,18.695
5/25/19 1:09:13 PM,C,18.695
5/25/19 1:14:29 PM,C,18.695
5/25/19 1:19:45 PM,C,18.695
5/25/19 1:25:01 PM,C,18.695
5/25/19 1:30:17 PM,C,18.632
5/25/19 1:35:33 PM,C,18.632
5/25/19 1:40:49 PM,C,18.632
5/25/19 1:46:05 PM,C,18.632
5/25/19 1:51:21 PM,C,18.57
5/25/19 1:56:37 PM,C,18.632
5/25/19 2:01:53 PM,C,18.632
5/25/19 2:07:09 PM,C,18.632
5/25/19 2:12:25 PM,C,18.632
5/25/19 2:17:41 PM,C,18.632
5/25/19 2:22:57 PM,C,18.695
5/25/19 2:28:13 PM,C,18.758
5/25/19 2:33:29 PM,C,18.758
5/25/19 2:38:45 PM,C,18.82
5/25/19 2:44:01 PM,C,18.82
5/25/19 2:49:17 PM,C,18.883
5/25/19 2:54:33 PM,C,18.883
5/25/19 2:59:49 PM,C,18.883
5/25/19 3:05:05 PM,C,18.945
5/25/19 3:10:21 PM,C,18.945
5/25/19 3:15:37 PM,C,19.008
5/25/19 3:20:53 PM,C,19.008
5/25/19 3:26:09 PM,C,19.008
5/25/19 3:31:25 PM,C,19.07
5/25/19 3:36:41 PM,C,19.07
5/25/19 3:41:57 PM,C,19.133
5/25/19 3:47:13 PM,C,19.133
5/25/19 3:52:29 PM,C,19.195
5/25/19 3:57:45 PM,C,19.195
