sample-id,MC,Substrate
MC1B1basalt_S40_L001,1,Basalt
MC2B2basalt_S43_L001,2,Basalt
MC3B3basalt_S46_L001,3,Basalt
MC4B4basalt_S49_L001,4,Basalt
MC5B5basalt_S52_L001,5,Basalt
MC6B6basalt_S55_L001,6,Basalt
MC1O1olivine_S41_L001,1,Olivine
MC2O2olivine_S44_L001,2,Olivine
MC3O3olivine_S47_L001,3,Olivine
MC4P4pyrite_S50_L001,4,Pyrite
MC5P5pyrite_S53_L001,5,Pyrite
MC6P6pyrite_S56_L001,6,Pyrite
MC1Q,1,Quartz
MC1Q1quartz_S42_L001,1,Quartz
MC2Q,2,Quartz
MC2Q2quartz_S45_L001,2,Quartz
MC3Q,3,Quartz
MC3Q3quartz_S48_L001,3,Quartz
MC4Q,4,Quartz
MC4Q4quartz_S51_L001,4,Quartz
MC5Q,5,Quartz
MC5Q5quartz_S54_L001,5,Quartz
MC6Q,6,Quartz
MC6Q6quartz_S57_L001,6,Quartz
MC1R,1,Riftia
MC2R,2,Riftia
MC3R,3,Riftia
MC4R,4,Riftia
MC5R,5,Riftia
MC6R,6,Riftia
MC1S,1,Shell
MC3S,3,shell
MC5S,5,Shell
MC6S,6,Shell
