MC_ID	Sample_material	Sample_type	Processing	Deployed	Recovered	Days.deployed	EventLog.ID	Eventlog.Description	WetLab.Sample.ID	Dive.ID	Time.Start..UTC.	Time.Finish..UTC.	Date.Time.Logged..UTC.	Latitude	Longitude	Depth..m..Paroscientific.Digiquartz	Sample.type	Vehicle	sample_purpose
MC1	Basalt	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	16S
MC1	Olivine	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	16S
MC1	Olivine	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	16S
MC1	Quartz1	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	16S
MC1	Quartz2	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	18S
MC1	Riftia	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	18S
MC1	Shell	DNA	Frozen dry in 1.5ml cyrovial, -80C	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	18S
MC1	Basalt	SEM	Incubated with 4% PFA, rinsed with 1X PBS, and stored in 1:1 EtOH:PBS	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	Prok SEM
MC1	Olivine	SEM	Incubated with 4% PFA, rinsed with 1X PBS, and stored in 1:1 EtOH:PBS	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	Prok SEM
MC1	Olivine	SEM	Incubated with 4% PFA, rinsed with 1X PBS, and stored in 1:1 EtOH:PBS	5/29/2019	6/5/2019	7	"NA108-076"	DESCRIPTION:H1753 MC1 MountEdwards - Microbial colonizer 1, Microbial colonizer deployment site from dive H1750, Herc hdg 114	H1753 MC1 MountEdwards	H1754	1819	1822	2019-06-05T18:23:28.162Z	42.7547	-126.709	2706.767661	TYPE:MicrobialColonizerRecovered	Hercules/Argus	Prok SEM
